value,B.Code,table,field,table_alt,field_alt,master_tab,F.Category,issue_addressed,addressed_by_whom,notes
,JO0058/JO0117,Fert.Method,F.Type,,,fert,Organic_Other,FALSE,"",""
252Root Vegetables (MRV) ,NM0100,Fert.Method,F.Type,,,fert,Organic_Other,FALSE,"",""
"65% poultry manure, 35% maize straw",AC0165,Fert.Method,F.Type,,,fert,Compost,FALSE,"",""
85% Sorghum residue + 25% Cattle Manure,JS0035,Fert.Method,F.Type,,,fert,Compost,FALSE,"",""
Acacia ,NN0455,Fert.Method,F.Type,,,fert,Biochar,FALSE,"",""
Accelerated compost (AC),CJ0128,Fert.Method,F.Type,,,fert,Compost,FALSE,"",""
Acidulated,NN0023,Fert.Method,F.Physical,,,lookup_levels,,FALSE,"",""
Algae,JO0205,Fert.Method,F.Type,,,fert,Organic_Other,FALSE,"",""
Ammonia,NN0519,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Ammonium Nitrate,CJ0013/NM0006/CJ0001/CJ0024/CJ0036/CJ0041/JO0038/JO0042/AC0093/AC0099/AC0125/AC0135/CJ0054/CJ0061/CJ0071/CJ0077/JO0066/JO0069/JO0088/NM0056/NM0060/NM0061/NN0453/AC0152/AC0169/CJ0117/JO0120/JO0132/JO0141/JO0145/JO0161/JO0165/CJ0195/DM0024/HK0106/HK0269/HK0294/HK0306.1/HK0306.2/HK0313/JS0040.2/JS0199/NM0080/NM0086/NM0125/NN0296/NN0485.1/NN0485.2/NN0516/NN0528/NN0532/SP0065/CJ0003/SP0001/AC0005/CJ0006/NN0414,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Ammonium Phosphate,JO0179/JS0102/JS0104,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Ammonium Sulphate,DM0006/AC0026/JO0018/NN0425/CJ0042/DM0028/NM0052/JO0040/JO0047/JO0050/SP0021/AC0078/AC0103/AC0107/AC0111/AC0129/CJ0090/JO0084/JO0091/NM0047/NM0071/NM0076/NN0451/AC0156/AC0163/AC0172/CJ0158/CJ0165/CJ0172/CJ0173/JO0001/JO0097/JO0106/JO0123/JO0153/SP0039/JS0087/JS0199/NN0261/NN0497/NN0511/NN0523,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Ammonium nitrate,AC0032,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
As cover,AC0026,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
BG4-reactive phosphate rock,CJ0119,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Banana Waste,CJ0151,Fert.Method,F.Type,,,fert,Biosolid,FALSE,"",""
Biowaste,NN0448,Fert.Method,F.Type,,,fert,Compost,FALSE,"",""
Black soldier fly frass,JO0052,Fert.Method,F.Type,,,fert,Manure,FALSE,"",""
Borax ,CJ0152/JO0114/NN0474/SA0022/SA0023,Fert.Method,F.Type,,,fert,MicroNutrient,FALSE,"",""
Boric Acid,NM0071,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Boric Acid,SP0018,Fert.Method,F.Type,,,fert,MicroNutrient,FALSE,"",""
Boron,AC0023/SP0008/CJ0018/CJ0022/JO0021/NM0015/AC0037/AC0038/SP0015/AC0054/AC0061/DM0026/JO0032/AC0075/JO0040/JO0051/SP0020/AC0092/AC0102/AC0110/AC0117/AC0133/CJ0095/JO0061/NN0455/NN0459/NN0471/AC0152/CJ0107/CJ0127/CJ0140/JO0098/JO0102/JO0109/JO0155/JO0167/SP0041/SP0046/CJ0150.1/CJ0197/JO0193/JO0195/NM0083/NM0100/NN0132/NN0296/NN0504/NN0533,Fert.Method,F.Type,,,fert,MicroNutrient,FALSE,"",""
Bovine Manure,NM0034,Fert.Method,F.Type,,,fert,Manure,FALSE,"",""
Brewery waste,JO0147,Fert.Method,F.Type,,,fert,Compost,FALSE,"",""
Broadcast,NN0434/NN0455,Fert.Method,F.Physical,,,lookup_levels,,FALSE,"",""
Ca (Unspecified),NM0015,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
CaCO3,CJ0187,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Calcinated,CJ0187,Fert.Method,F.Physical,,,lookup_levels,,FALSE,"",""
Calcium ,SP0008/SP0015/AC0061/AC0133/CJ0107/CJ0126/CJ0127/JO0109/JO0155/CJ0197/JO0193/JS0040.2/NN0533,Fert.Method,F.Type,,,fert,MicroNutrient,FALSE,"",""
Calcium (Unspecified),AC0075,Fert.Method,F.Type,,,fert,MicroNutrient,FALSE,"",""
Calcium (Unspecified),NN0455/CJ0106,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Calcium Ammonium Nitrate,NN0310/AC0033/CJ0024/NN0438/HK0111/CJ0039/AC0077.1/AC0077.2/CJ0050/CJ0052/CJ0067/JO0090/JO0143/AF0006/HK0209/HK0261/JS0307/JS0389/JS0433/LM0061/LM0168/LM0176.3/LM0186/LM0189/LM0265/NM0081/NM0092/NM0123/NM0132/NN0049/NN0132/NN0241/NN0247/NN0261/NN0561,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Calcium Chloride Dihydrate,NN0453,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Calcium Monophosphate,SP0065,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Calcium Nitrate,JO0016.1/JO0016.2,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Calcium Sulfate,NN0467/CJ0152/JO0114/NN0474,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Calcium Superphosphate,CJ0042/JO0091/NN0453/CJ0158/CJ0173/JO0148/JO0206/NM0125/NN0497/NN0523,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Calcium phosphate,CJ0174,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Carica papaya leaves,JO0044,Fert.Method,F.Type,,,fert,Organic_Other,FALSE,"",""
Cattle Farmyard Manure,CJ0115/JS0334.1/JS0334.2/NN0554/AC0005,Fert.Method,F.Type,,,fert,Manure,FALSE,"",""
Cattle Manure,CJ0151,Fert.Method,F.Type,,,fert,Biosolid,FALSE,"",""
Cattle Manure,CJ0151,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
